unit_code,unit_name,unit_name_combined
MLKM,"Martin Luther King, Jr., Memorial","Martin Luther King, Jr., Memorial (MLKM)"
MALU,"Martin Luther King, Jr., National Historical Park","Martin Luther King, Jr., National Historical Park (MALU)"
MAVA,Martin Van Buren National Historic Site,Martin Van Buren National Historic Site (MAVA)
MABE,Mary McLeod Bethune Council House National Historic Site,Mary McLeod Bethune Council House National Historic Site (MABE)
MEMY,Medgar and Myrlie Evers Home National Monument,Medgar and Myrlie Evers Home National Monument (MEMY)
MEVE,Mesa Verde National Park,Mesa Verde National Park (MEVE)
DELA,Middle Delaware National Scenic River,Middle Delaware National Scenic River (DELA)
MISP,Mill Springs Battlefield National Monument,Mill Springs Battlefield National Monument (MISP)
MIIN,Minidoka National Historic Site,Minidoka National Historic Site (MIIN)
MIMA,Minute Man National Historical Park,Minute Man National Historical Park (MIMA)
MIMI,Minuteman Missile National Historic Site,Minuteman Missile National Historic Site (MIMI)
MISS,Mississippi National River and Recreation Area,Mississippi National River and Recreation Area (MISS)
MNRR,Missouri National Recreational River,Missouri National Recreational River (MNRR)
MOJA,Mojave National Preserve,Mojave National Preserve (MOJA)
MONO,Monocacy National Battlefield,Monocacy National Battlefield (MONO)
MOCA,Montezuma Castle National Monument,Montezuma Castle National Monument (MOCA)
MOCR,Moores Creek National Battlefield,Moores Creek National Battlefield (MOCR)
MORR,Morristown National Historical Park,Morristown National Historical Park (MORR)
MORA,Mount Rainier National Park,Mount Rainier National Park (MORA)
MORU,Mount Rushmore National Memorial,Mount Rushmore National Memorial (MORU)
MUWO,Muir Woods National Monument,Muir Woods National Monument (MUWO)
NATC,Natchez National Historical Park,Natchez National Historical Park (NATC)
NATR,Natchez Trace Parkway,Natchez Trace Parkway (NATR)
NACA,National Capital Parks,National Capital Parks (NACA)
MALL,National Mall,National Mall (MALL)
NPSA,National Park of American Samoa,National Park of American Samoa (NPSA)
NABR,Natural Bridges National Monument,Natural Bridges National Monument (NABR)
NAVA,Navajo National Monument,Navajo National Monument (NAVA)
NEBE,New Bedford Whaling National Historical Park,New Bedford Whaling National Historical Park (NEBE)
NEEN,New England National Scenic Trail,New England National Scenic Trail (NEEN)
JAZZ,New Orleans Jazz National Historical Park,New Orleans Jazz National Historical Park (JAZZ)
NEPH,New Philadelphia National Historic Site,New Philadelphia National Historic Site (NEPH)
NERI,New River Gorge National Park and Preserve,New River Gorge National Park and Preserve (NERI)
NEPE,Nez Perce National Historical Park,Nez Perce National Historical Park (NEPE)
NICO,Nicodemus National Historic Site,Nicodemus National Historic Site (NICO)
NISI,Ninety Six National Historic Site,Ninety Six National Historic Site (NISI)
